,Nombre,Categoría,Sección,Descripción,Dimensiones,URL Imágenes
4596,MED61,Atrezzo medicina,Hospital Medicina,Atrezzo medicinaMED61Hospital  Medicina  Paquetes de vendas0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/MED61/MED61-720x540.png
4597,HOS61,Hospitales,Hospital Medicina,HospitalesHOS61Hospital  Medicina  Aparato clínica hierro crema100x45x133Añadir al presupuesto,100x45x133,https://atrezzovazquez.es/admin/img_prod/HOS61/HOS61-2-720x540.png
4598,VAA61,Atrezzo vario,Adorno Decoración,Atrezzo varioVAA61Adorno  Decoración  Piel de vaca auténtica220x220x5Añadir al presupuesto,220x220x5,https://atrezzovazquez.es/admin/img_prod/VAA61/VAA61-720x540.png
4599,SI61,Sillón,Cubista Salón,SillónSI61Cubista  Salón  Sillón cubista brazos madera tapizado verde73x78x72Añadir al presupuesto,73x78x72,https://atrezzovazquez.es/admin/img_prod/SI61/SI61-1-720x540.png
4600,MV61,Muebles varios,Chifonier Inglesa,Muebles variosMV61Chifonier  Inglesa  Chifonier inglés nogal 8 cajones60x33x115Añadir al presupuesto,60x33x115,https://atrezzovazquez.es/admin/img_prod/MV61/MV61-1-720x540.png
4601,EST61,Estufa,Calefaccion,EstufaEST61Calefaccion  Estufa chubesqui de hierro y 3 patas1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/EST61/EST61-720x540.png
4602,SIL61,Silla,Comedor Valenciano,SillaSIL61Comedor  Valenciano  Silla valenciana clara asiento tapizado50x47x106Añadir al presupuesto,50x47x106,https://atrezzovazquez.es/admin/img_prod/SIL61/SIL61 (HAY 6) 720x540.png
4603,S61,Sofá,Isabelino Salón Sillería,SofáS61Isabelino  Salón  Sillería  Sofá isabelino crema tela cretona verde a juego sillas SIL-132 y banqueta BAN-036175x56x110Añadir al presupuesto,175x56x110,https://atrezzovazquez.es/admin/img_prod/S61/S61-1-720x540.png
4604,TYV61,Televisores y vídeos,Televisor,"Televisores y vídeosTYV61Televisor  Televisor plano 21""60x20x45Añadir al presupuesto",60x20x45,https://atrezzovazquez.es/admin/img_prod/TYV61/TYV61-2-720x540.png
4605,PV61,Pie de vela,Candelabro Iglesia,Pie de velaPV61Candelabro  Iglesia  Candelabro de iglesia de metal 5 luces en línea0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/PV61/PV61-720x540.png
4606,TP61,Tapices y estandartes,Salón,Tapices y estandartesTP61Salón  Tapiz bordado perros con marco dorado105x5x52Añadir al presupuesto,105x5x52,https://atrezzovazquez.es/admin/img_prod/TP61/TP61-720x540.png
4607,PER61,Perchero,Dormitorio Inglesa Recibidor,PercheroPER61Dormitorio  Inglesa  Recibidor  Perchero de colgar inglés plumeado 4 boliches y barras69x27x28Añadir al presupuesto,69x27x28,https://atrezzovazquez.es/admin/img_prod/PER61/PER61-720x540.png
4608,ESTAT61,Estatua,Egipcio Insignia,EstatuaESTAT61Egipcio  Insignia  Cabeza de carnero egipcio de cartón1x1x1Añadir al presupuesto,1x1x1,https://atrezzovazquez.es/admin/img_prod/ESTAT61/ESTAT61-720x540.png
4609,CDM61,Centro de mesa,,Centro de mesaCDM61Centro de mesa chapa redondo calado0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/CDM61/CDM61-720x540.png
4610,FIG61,Figuras,Adorno,FigurasFIG61Adorno  Figura de loza indonesa0x0x50Añadir al presupuesto,0x0x50,https://atrezzovazquez.es/admin/img_prod/FIG61/FIG61-720x540.png
4611,REG61,Religión,Descatalogado,ReligiónREG61Descatalogado  0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/REG61/LOGOTIPO VAZQUEZ- 720x540.png
4612,RU61,Rural,Rústico,RuralRU61Rústico  Cesto de mimbre 2 asas0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/RU61/RU61-720x540.png
4613,BAU61,Baul,Americano Viaje,BaulBAU61Americano  Viaje  Baúl americano verde y oro110x55x39Añadir al presupuesto,110x55x39,https://atrezzovazquez.es/admin/img_prod/BAU61/BAU61-1-720x540.png
4614,ALF62,Alfombra,Comedor Salón,AlfombraALF62Comedor  Salón  Alfombra fondo gris dibujos marrones240x165x1Añadir al presupuesto,240x165x1,https://atrezzovazquez.es/admin/img_prod/ALF62/ALF62-720x540.png
4615,AFC62,Alfombra de cama,Dormitorio,Alfombra de camaAFC62Dormitorio  Alfombrin de cama azul y blanco120x60x1Añadir al presupuesto,120x60x1,https://atrezzovazquez.es/admin/img_prod/AFC62/AFC62-720x540.png
4616,AP62,Aparador,Descatalogado,AparadorAP62Descatalogado  0x0x0Añadir al presupuesto,0x0x0,https://atrezzovazquez.es/admin/img_prod/AP62/LOGOTIPO VAZQUEZ- 720x540.png
4617,AR62,Armario,Dormitorio,ArmarioAR62Dormitorio  Armario marquetería 3 puertas170x50x204Añadir al presupuesto,170x50x204,https://atrezzovazquez.es/admin/img_prod/AR62/AR62-720x540.png
4618,BAC62,Banco,Calle Parque,BancoBAC62Calle  Parque  Banco de parque tablas patas hierro198x67x76Añadir al presupuesto,198x67x76,https://atrezzovazquez.es/admin/img_prod/BAC62/BAC62-1-720x540.png
